state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population
Karnataka,Bagalkote,233,55,8,5,1,2019-20,Bagalkote,556,exact,1889752
Karnataka,Bangalore Rural,199,50,2,4,0,2019-20,Bengaluru Rural,583,fuzzy,990923
Karnataka,Bangalore Urban,279,203,11,5,7,2019-20,Bengaluru Urban,572,fuzzy,9621551
Karnataka,Belgaum,620,153,16,9,0,2019-20,Belagavi,555,crosswalk,4779661
Karnataka,Bellary,293,74,11,6,1,2019-20,Ballari,565,crosswalk,2452595
Karnataka,Bidar,275,58,8,4,0,2019-20,Bidar,558,exact,1703300
Karnataka,Bijapur,310,67,9,4,1,2019-20,Vijayapura,557,crosswalk,2177331
Karnataka,Chamrajnagar,254,62,3,3,0,2019-20,Chamarajanagara,578,fuzzy,1020791
Karnataka,Chikkaballapur,203,61,2,5,1,2019-20,Chikkaballapura,582,fuzzy,1255104
Karnataka,Chikmagalur,368,91,5,6,1,2019-20,Chikkamagaluru,570,fuzzy,1137961
Karnataka,Chitradurga,343,86,11,5,1,2019-20,Chitradurga,566,exact,1659456
Karnataka,Dakshina Kannada,430,80,5,4,2,2019-20,Dakshina Kannada,575,exact,2089649
Karnataka,Davanagere,324,108,6,5,2,2019-20,Davangere,567,fuzzy,1945497
Karnataka,Dharwad,185,53,0,3,1,2019-20,Dharwad,562,exact,1847023
Karnataka,Gadag,191,42,2,4,1,2019-20,Gadag,561,exact,1064570
Karnataka,Gulbarga,337,102,16,6,0,2019-20,Kalaburagi,579,crosswalk,2566326
Karnataka,Hassan,486,138,15,7,0,2019-20,Hassan,574,exact,1776421
Karnataka,Haveri,311,72,5,6,1,2019-20,Haveri,564,exact,1597668
Karnataka,Kodagu,196,30,7,2,0,2019-20,Kodagu,576,exact,554519
Karnataka,Kolar,266,68,2,5,1,2019-20,Kolar,581,exact,1536401
Karnataka,Koppal,176,48,9,3,0,2019-20,Koppal,560,exact,1389920
Karnataka,Mandya,410,117,9,6,0,2019-20,Mandya,573,exact,1805769
Karnataka,Mysore,510,147,10,6,1,2019-20,Mysuru,577,crosswalk,3001127
Karnataka,Raichur,213,57,6,4,0,2019-20,Raichur,559,exact,1928812
Karnataka,Ramanagar,249,65,4,3,1,2019-20,Ramanagara,584,fuzzy,1082636
Karnataka,Shimoga,356,106,7,7,0,2019-20,Shivamogga,568,fuzzy,1752753
Karnataka,Tumkur,569,150,4,9,1,2019-20,Tumakuru,571,fuzzy,2678980
Karnataka,Udupi,336,62,6,2,1,2019-20,Udupi,569,exact,1177361
Karnataka,Uttara Kannada,344,85,3,10,0,2019-20,Uttara Kannada,563,exact,1437169
Karnataka,Yadgir,169,44,6,2,1,2019-20,Yadgir,580,exact,1174271
Maharashtra,Ahmadnagar,558,106,23,3,1,2019-20,Ahmednagar,522,fuzzy,4543159
Maharashtra,Akola,178,45,5,1,1,2019-20,Akola,501,exact,1813906
Maharashtra,Amravati,334,74,10,4,3,2019-20,Amravati,503,exact,2888445
Maharashtra,Aurangabad,279,82,11,3,1,2019-20,Chhatrapati Sambhajinagar,515,crosswalk,3701282
Maharashtra,Bhandara,193,35,7,2,1,2019-20,Bhandara,506,exact,1200334
Maharashtra,Bid,297,55,10,3,2,2019-20,Beed,523,crosswalk,2585049
Maharashtra,Brihan Mumbai,0,298,22,0,5,2019-20,,,none,
Maharashtra,Buldana,280,58,12,2,2,2019-20,Buldhana,500,fuzzy,2586258
Maharashtra,Chandrapur,339,67,10,3,0,2019-20,Chandrapur,509,exact,2204307
Maharashtra,Dhule,232,49,5,2,0,2019-20,Dhule,498,exact,2050862
Maharashtra,Gadchiroli,376,48,9,3,2,2019-20,Gadchiroli,508,exact,1072942
Maharashtra,Gondiya,258,41,10,1,0,2019-20,Gondia,507,fuzzy,1322507
Maharashtra,Hingoli,132,27,3,2,2,2019-20,Hingoli,512,exact,1177345
Maharashtra,Jalgaon,442,95,19,3,0,2019-20,Jalgaon,499,exact,4229917
Maharashtra,Jalna,218,43,8,1,2,2019-20,Jalna,514,exact,1959046
Maharashtra,Kolhapur,413,91,18,4,0,2019-20,Kolhapur,530,exact,3876001
Maharashtra,Latur,252,57,10,2,1,2019-20,Latur,524,exact,2454196
Maharashtra,Nagpur,316,95,12,2,1,2019-20,Nagpur,505,exact,4653570
Maharashtra,Nanded,379,80,13,4,2,2019-20,Nanded,511,exact,3361292
Maharashtra,Nandurbar,292,61,12,2,1,2019-20,Nandurbar,497,exact,1648295
Maharashtra,Nashik,587,156,27,6,4,2019-20,Nashik,516,exact,6107187
Maharashtra,Osmanabad,211,44,6,3,2,2019-20,Dharashiv,525,crosswalk,1657576
Maharashtra,Palghar,311,70,14,3,0,2019-20,Palghar,000,exact,
Maharashtra,Parbhani,214,38,6,2,2,2019-20,Parbhani,513,exact,1836086
Maharashtra,Pune,542,193,28,11,2,2019-20,Pune,521,exact,9429408
Maharashtra,Raigarh,288,59,8,5,1,2019-20,Raigad,520,fuzzy,2634200
Maharashtra,Ratnagiri,378,68,8,3,1,2019-20,Ratnagiri,528,exact,1615069
Maharashtra,Sangli,320,71,15,2,0,2019-20,Sangli,531,exact,2822143
Maharashtra,Satara,401,76,15,2,1,2019-20,Satara,527,exact,3003741
Maharashtra,Sindhudurg,248,38,7,3,1,2019-20,Sindhudurg,529,exact,849651
Maharashtra,Solapur,427,95,16,3,0,2019-20,Solapur,526,exact,4317756
Maharashtra,Thane,176,133,11,5,6,2019-20,Thane,517,exact,11060148
Maharashtra,Wardha,181,32,7,2,1,2019-20,Wardha,504,exact,1300774
Maharashtra,Washim,153,26,7,0,1,2019-20,Washim,502,exact,1197160
Maharashtra,Yavatmal,444,69,14,3,0,2019-20,Yavatmal,510,exact,2772348
Rajasthan,Ajmer,371,90,22,3,1,2019-20,Ajmer,119,exact,2583052
Rajasthan,Alwar,684,133,37,0,1,2019-20,Alwar,104,exact,3674179
Rajasthan,Banswara,453,59,22,0,1,2019-20,Banswara,125,exact,1797485
Rajasthan,Baran,265,53,14,0,1,2019-20,Baran,128,exact,1222755
Rajasthan,Barmer,721,104,24,1,1,2019-20,Barmer,115,exact,2603751
Rajasthan,Bharatpur,395,75,17,0,1,2019-20,Bharatpur,105,exact,2548462
Rajasthan,Bhilwara,534,86,25,0,1,2019-20,Bhilwara,122,exact,2408523
Rajasthan,Bikaner,419,72,17,0,0,2019-20,Bikaner,101,exact,2363937
Rajasthan,Bundi,207,33,13,0,1,2019-20,Bundi,121,exact,1110906
Rajasthan,Chittorgarh,383,54,23,1,1,2019-20,Chittorgarh,126,exact,1544338
Rajasthan,Churu,436,102,16,2,1,2019-20,Churu,102,exact,2039547
Rajasthan,Dausa,315,47,16,0,1,2019-20,Dausa,109,exact,1634409
Rajasthan,Dholpur,230,36,7,1,1,2019-20,Dholpur,106,exact,1206516
Rajasthan,Dungarpur,349,59,15,1,1,2019-20,Dungarpur,124,exact,1388552
Rajasthan,Ganganagar,415,62,18,0,1,2019-20,Ganganagar,099,exact,1969168
Rajasthan,Hanumangarh,361,59,16,0,1,2019-20,Hanumangarh,100,exact,1774692
Rajasthan,Jaipur,617,207,34,1,0,2019-20,Jaipur,110,exact,6626178
Rajasthan,Jaisalmer,157,31,8,0,1,2019-20,Jaisalmer,114,exact,669919
Rajasthan,Jalore,407,72,11,0,1,2019-20,Jalore,116,exact,1828730
Rajasthan,Jhalawar,323,48,14,0,0,2019-20,Jhalawar,129,exact,1411129
Rajasthan,Jhunjhunu,592,116,26,0,1,2019-20,Jhunjhunu,103,exact,2137045
Rajasthan,Jodhpur,653,111,27,0,0,2019-20,Jodhpur,113,exact,3687165
Rajasthan,Karauli,278,40,11,1,1,2019-20,Karauli,107,exact,1458248
Rajasthan,Kota,188,63,13,0,0,2019-20,Kota,127,exact,1951014
Rajasthan,Nagaur,798,131,32,3,1,2019-20,Nagaur,112,exact,3307743
Rajasthan,Pali,476,89,23,1,1,2019-20,Pali,118,exact,2037573
Rajasthan,Pratapgarh,203,32,8,0,1,2019-20,Pratapgarh,131,exact,867848
Rajasthan,Rajsamand,259,47,12,1,1,2019-20,Rajsamand,123,exact,1156597
Rajasthan,Sawai Madhopur,266,39,14,1,1,2019-20,Sawai Madhopur,108,exact,1335551
Rajasthan,Sikar,638,113,30,2,1,2019-20,Sikar,111,exact,2677333
Rajasthan,Sirohi,223,34,9,0,1,2019-20,Sirohi,117,exact,1036346
Rajasthan,Tonk,290,65,11,0,1,2019-20,Tonk,120,exact,1421326
Rajasthan,Udaipur,624,115,29,1,0,2019-20,Udaipur,130,exact,3068420
Tamil Nadu,Ariyalur,117,32,6,3,1,2019-20,Ariyalur,616,exact,754894
Tamil Nadu,Chennai,0,144,15,3,1,2019-20,Chennai,603,exact,4646732
Tamil Nadu,Coimbatore,328,77,12,12,1,2019-20,Coimbatore,632,exact,3458045
Tamil Nadu,Cuddalore,319,58,13,9,1,2019-20,Cuddalore,617,exact,2605914
Tamil Nadu,Dharmapuri,218,43,8,3,1,2019-20,Dharmapuri,630,exact,1506843
Tamil Nadu,Dindigul,311,59,14,12,1,2019-20,Dindigul,612,exact,2159775
Tamil Nadu,Erode,311,62,14,7,1,2019-20,Erode,610,exact,2251744
Tamil Nadu,Kancheepuram,364,64,13,9,1,2019-20,Kancheepuram,604,exact,3998252
Tamil Nadu,Kanniyakumari,267,38,9,8,1,2019-20,Kanniyakumari,629,exact,1870374
Tamil Nadu,Karur,168,29,8,6,1,2019-20,Karur,613,exact,1064493
Tamil Nadu,Krishnagiri,239,51,10,6,1,2019-20,Krishnagiri,631,exact,1879809
Tamil Nadu,Madurai,314,75,13,6,1,2019-20,Madurai,623,exact,3038252
Tamil Nadu,Nagapattinam,258,47,11,11,1,2019-20,Nagapattinam,618,exact,1616450
Tamil Nadu,Namakkal,240,48,15,8,1,2019-20,Namakkal,609,exact,1726601
Tamil Nadu,Nilgiris,194,33,4,3,1,2019-20,The Nilgiris,611,fuzzy,735394
Tamil Nadu,Perambalur,90,25,4,12,1,2019-20,Perambalur,615,exact,565223
