state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year
Karnataka,Bagalkote,233,55,8,5,1,2019-20
Karnataka,Bangalore Rural,199,50,2,4,0,2019-20
Karnataka,Bangalore Urban,279,203,11,5,7,2019-20
Karnataka,Belgaum,620,153,16,9,0,2019-20
Karnataka,Bellary,293,74,11,6,1,2019-20
Karnataka,Bidar,275,58,8,4,0,2019-20
Karnataka,Bijapur,310,67,9,4,1,2019-20
Karnataka,Chamrajnagar,254,62,3,3,0,2019-20
Karnataka,Chikkaballapur,203,61,2,5,1,2019-20
Karnataka,Chikmagalur,368,91,5,6,1,2019-20
Karnataka,Chitradurga,343,86,11,5,1,2019-20
Karnataka,Dakshina Kannada,430,80,5,4,2,2019-20
Karnataka,Davanagere,324,108,6,5,2,2019-20
Karnataka,Dharwad,185,53,0,3,1,2019-20
Karnataka,Gadag,191,42,2,4,1,2019-20
Karnataka,Gulbarga,337,102,16,6,0,2019-20
Karnataka,Hassan,486,138,15,7,0,2019-20
Karnataka,Haveri,311,72,5,6,1,2019-20
Karnataka,Kodagu,196,30,7,2,0,2019-20
Karnataka,Kolar,266,68,2,5,1,2019-20
Karnataka,Koppal,176,48,9,3,0,2019-20
Karnataka,Mandya,410,117,9,6,0,2019-20
Karnataka,Mysore,510,147,10,6,1,2019-20
Karnataka,Raichur,213,57,6,4,0,2019-20
Karnataka,Ramanagar,249,65,4,3,1,2019-20
Karnataka,Shimoga,356,106,7,7,0,2019-20
Karnataka,Tumkur,569,150,4,9,1,2019-20
Karnataka,Udupi,336,62,6,2,1,2019-20
Karnataka,Uttara Kannada,344,85,3,10,0,2019-20
Karnataka,Yadgir,169,44,6,2,1,2019-20
Maharashtra,Ahmadnagar,558,106,23,3,1,2019-20
Maharashtra,Akola,178,45,5,1,1,2019-20
Maharashtra,Amravati,334,74,10,4,3,2019-20
Maharashtra,Aurangabad,279,82,11,3,1,2019-20
Maharashtra,Bhandara,193,35,7,2,1,2019-20
Maharashtra,Bid,297,55,10,3,2,2019-20
Maharashtra,Brihan Mumbai,0,298,22,0,5,2019-20
Maharashtra,Buldana,280,58,12,2,2,2019-20
Maharashtra,Chandrapur,339,67,10,3,0,2019-20
Maharashtra,Dhule,232,49,5,2,0,2019-20
Maharashtra,Gadchiroli,376,48,9,3,2,2019-20
Maharashtra,Gondiya,258,41,10,1,0,2019-20
Maharashtra,Hingoli,132,27,3,2,2,2019-20
Maharashtra,Jalgaon,442,95,19,3,0,2019-20
Maharashtra,Jalna,218,43,8,1,2,2019-20
Maharashtra,Kolhapur,413,91,18,4,0,2019-20
Maharashtra,Latur,252,57,10,2,1,2019-20
Maharashtra,Nagpur,316,95,12,2,1,2019-20
Maharashtra,Nanded,379,80,13,4,2,2019-20
Maharashtra,Nandurbar,292,61,12,2,1,2019-20
Maharashtra,Nashik,587,156,27,6,4,2019-20
Maharashtra,Osmanabad,211,44,6,3,2,2019-20
Maharashtra,Palghar,311,70,14,3,0,2019-20
Maharashtra,Parbhani,214,38,6,2,2,2019-20
Maharashtra,Pune,542,193,28,11,2,2019-20
Maharashtra,Raigarh,288,59,8,5,1,2019-20
Maharashtra,Ratnagiri,378,68,8,3,1,2019-20
Maharashtra,Sangli,320,71,15,2,0,2019-20
Maharashtra,Satara,401,76,15,2,1,2019-20
Maharashtra,Sindhudurg,248,38,7,3,1,2019-20
Maharashtra,Solapur,427,95,16,3,0,2019-20
Maharashtra,Thane,176,133,11,5,6,2019-20
Maharashtra,Wardha,181,32,7,2,1,2019-20
Maharashtra,Washim,153,26,7,0,1,2019-20
Maharashtra,Yavatmal,444,69,14,3,0,2019-20
Rajasthan,Ajmer,371,90,22,3,1,2019-20
Rajasthan,Alwar,684,133,37,0,1,2019-20
Rajasthan,Banswara,453,59,22,0,1,2019-20
Rajasthan,Baran,265,53,14,0,1,2019-20
Rajasthan,Barmer,721,104,24,1,1,2019-20
Rajasthan,Bharatpur,395,75,17,0,1,2019-20
Rajasthan,Bhilwara,534,86,25,0,1,2019-20
Rajasthan,Bikaner,419,72,17,0,0,2019-20
Rajasthan,Bundi,207,33,13,0,1,2019-20
Rajasthan,Chittorgarh,383,54,23,1,1,2019-20
Rajasthan,Churu,436,102,16,2,1,2019-20
Rajasthan,Dausa,315,47,16,0,1,2019-20
Rajasthan,Dholpur,230,36,7,1,1,2019-20
Rajasthan,Dungarpur,349,59,15,1,1,2019-20
Rajasthan,Ganganagar,415,62,18,0,1,2019-20
Rajasthan,Hanumangarh,361,59,16,0,1,2019-20
Rajasthan,Jaipur,617,207,34,1,0,2019-20
Rajasthan,Jaisalmer,157,31,8,0,1,2019-20
Rajasthan,Jalore,407,72,11,0,1,2019-20
Rajasthan,Jhalawar,323,48,14,0,0,2019-20
Rajasthan,Jhunjhunu,592,116,26,0,1,2019-20
Rajasthan,Jodhpur,653,111,27,0,0,2019-20
Rajasthan,Karauli,278,40,11,1,1,2019-20
Rajasthan,Kota,188,63,13,0,0,2019-20
Rajasthan,Nagaur,798,131,32,3,1,2019-20
Rajasthan,Pali,476,89,23,1,1,2019-20
Rajasthan,Pratapgarh,203,32,8,0,1,2019-20
Rajasthan,Rajsamand,259,47,12,1,1,2019-20
Rajasthan,Sawai Madhopur,266,39,14,1,1,2019-20
Rajasthan,Sikar,638,113,30,2,1,2019-20
Rajasthan,Sirohi,223,34,9,0,1,2019-20
Rajasthan,Tonk,290,65,11,0,1,2019-20
Rajasthan,Udaipur,624,115,29,1,0,2019-20
Tamil Nadu,Ariyalur,117,32,6,3,1,2019-20
Tamil Nadu,Chennai,0,144,15,3,1,2019-20
Tamil Nadu,Coimbatore,328,77,12,12,1,2019-20
Tamil Nadu,Cuddalore,319,58,13,9,1,2019-20
Tamil Nadu,Dharmapuri,218,43,8,3,1,2019-20
Tamil Nadu,Dindigul,311,59,14,12,1,2019-20
Tamil Nadu,Erode,311,62,14,7,1,2019-20
Tamil Nadu,Kancheepuram,364,64,13,9,1,2019-20
Tamil Nadu,Kanniyakumari,267,38,9,8,1,2019-20
Tamil Nadu,Karur,168,29,8,6,1,2019-20
Tamil Nadu,Krishnagiri,239,51,10,6,1,2019-20
Tamil Nadu,Madurai,314,75,13,6,1,2019-20
Tamil Nadu,Nagapattinam,258,47,11,11,1,2019-20
Tamil Nadu,Namakkal,240,48,15,8,1,2019-20
Tamil Nadu,Nilgiris,194,33,4,3,1,2019-20
Tamil Nadu,Perambalur,90,25,4,12,1,2019-20
Tamil Nadu,Pudukkottai,242,62,13,9,1,2019-20
Tamil Nadu,Ramanathapuram,244,48,11,11,1,2019-20
Tamil Nadu,Salem,398,87,20,16,1,2019-20
Tamil Nadu,Sivaganga,275,40,12,13,1,2019-20
Tamil Nadu,Thanjavur,309,63,14,5,1,2019-20
Tamil Nadu,Theni,162,33,8,5,1,2019-20
Tamil Nadu,Thiruvallur,303,54,14,8,1,2019-20
Tamil Nadu,Thiruvarur,195,40,10,9,1,2019-20
Tamil Nadu,Tiruchirappalli,307,70,14,16,1,2019-20
Tamil Nadu,Tirunelveli,379,85,19,9,1,2019-20
Tamil Nadu,Tirupur,242,54,13,10,1,2019-20
Tamil Nadu,Tiruvanamalai,410,81,18,9,1,2019-20
Tamil Nadu,Toothukudi,253,48,12,7,1,2019-20
Tamil Nadu,Vellore,454,99,20,12,1,2019-20
Tamil Nadu,Viluppuram,557,88,22,11,1,2019-20
Tamil Nadu,Virudhunagar,245,47,11,10,1,2019-20
Uttar Pradesh,Agra,395,75,16,0,2,2019-20
Uttar Pradesh,Aligarh,333,53,13,0,4,2019-20
Uttar Pradesh,Allahabad,562,84,19,0,6,2019-20
Uttar Pradesh,Ambedkar Nagar,272,28,10,0,1,2019-20
Uttar Pradesh,Auraiya,165,26,7,0,2,2019-20
Uttar Pradesh,Azamgarh,493,77,19,0,4,2019-20
Uttar Pradesh,Bagpat,200,24,7,0,1,2019-20
Uttar Pradesh,Bahraich,320,56,14,0,2,2019-20
Uttar Pradesh,Ballia,367,81,9,0,2,2019-20
Uttar Pradesh,Balrampur,215,27,9,0,3,2019-20
Uttar Pradesh,Banda,277,52,4,0,2,2019-20
Uttar Pradesh,Barabanki,350,56,19,0,3,2019-20
Uttar Pradesh,Bareilly,411,81,6,0,2,2019-20
Uttar Pradesh,Basti,273,39,14,0,3,2019-20
Uttar Pradesh,Bijnor,343,64,7,0,2,2019-20
Uttar Pradesh,Budaun,291,56,9,0,2,2019-20
Uttar Pradesh,Bulandshahar,344,71,10,0,4,2019-20
Uttar Pradesh,C S M Nagar,213,31,13,0,1,2019-20
Uttar Pradesh,Chandauli,248,30,4,0,4,2019-20
Uttar Pradesh,Chitrakoot,134,28,6,0,1,2019-20
Uttar Pradesh,Deoria,320,77,16,0,2,2019-20
Uttar Pradesh,Etah,191,34,4,0,2,2019-20
Uttar Pradesh,Etawah,169,34,8,0,3,2019-20
Uttar Pradesh,Faizabad,255,40,5,0,4,2019-20
Uttar Pradesh,Farrukhabad,192,31,8,0,3,2019-20
Uttar Pradesh,Fatehpur,321,47,11,0,2,2019-20
Uttar Pradesh,Firozabad,220,19,3,0,3,2019-20
Uttar Pradesh,Gautam Buddha Nagar,128,37,5,0,2,2019-20
Uttar Pradesh,Ghaziabad,146,66,4,0,3,2019-20
Uttar Pradesh,Ghazipur,418,12,6,0,2,2019-20
Uttar Pradesh,Gonda,322,52,16,0,2,2019-20
Uttar Pradesh,Gorakhpur,529,91,9,0,2,2019-20
