state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population,sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,sub_centres_per_100k_norm,phcs_per_100k_norm,chcs_per_100k_norm,sub_divisional_hospital_per_100k_norm,district_hospital_per_100k_norm,D_HAI_v1,underserved,district_id,underserved_next_year,year_num,next_year_num,is_consecutive
Rajasthan,Ganganagar,415,62,18,0,1,2019-20,Ganganagar,99.0,exact,1969168.0,21.074890512135074,3.1485378596442763,0.9140916366709189,0.0,0.050782868703939936,0.5962462863213586,0.36750990146603585,0.5566975955881321,0.0,0.2224183005208291,0.34857441677927115,0,99.0,0,2019,2020.0,True
Rajasthan,Ganganagar,419,64,18,0,1,2020-21,Ganganagar,99.0,exact,1969168.0,21.278021986950836,3.250103597052156,0.9140916366709189,0.0,0.050782868703939936,0.601993238478673,0.380759982241796,0.5566975955881321,0.0,0.2224183005208291,0.3523738233658861,0,99.0,0,2020,,False
Rajasthan,Hanumangarh,361,59,16,0,1,2019-20,Hanumangarh,100.0,exact,1774692.0,20.341557859053854,3.3245205365212667,0.9015648912600045,0.0,0.05634780570375028,0.5754989960430961,0.39046828037673453,0.5490685912618282,0.0,0.24679155594322846,0.3523654847249774,0,100.0,0,2019,2020.0,True
Rajasthan,Hanumangarh,360,60,16,0,1,2020-21,Hanumangarh,100.0,exact,1774692.0,20.285210053350102,3.380868342225017,0.9015648912600045,0.0,0.05634780570375028,0.5739048159986554,0.3978193122912984,0.5490685912618282,0.0,0.24679155594322846,0.3535168550990021,0,100.0,0,2020,,False
Rajasthan,Bikaner,419,72,17,0,0,2019-20,Bikaner,101.0,exact,2363937.0,17.724668635416258,3.045766448090622,0.7191393002436189,0.0,0.0,0.5014625268899178,0.3541025306412052,0.43796825534536815,0.0,0.0,0.25870666257529823,0,101.0,0,2019,2020.0,True
Rajasthan,Bikaner,421,70,18,0,0,2020-21,Bikaner,101.0,exact,2363937.0,17.80927325897433,2.9611618245325486,0.7614416120226555,0.0,0.0,0.5038561427700605,0.34306516582943475,0.46373109389509576,0.0,0.0,0.26213048049891824,0,101.0,0,2020,,False
Rajasthan,Churu,436,102,16,2,1,2019-20,Churu,102.0,exact,2039547.0,21.377296036816016,5.001110540723014,0.7844879279565512,0.0980609909945689,0.04903049549728445,0.604801878624448,0.6091931530598503,0.47776669837156804,0.04618860626076935,0.21474327387405148,0.39053872203813744,0,102.0,0,2019,2020.0,True
Rajasthan,Churu,436,99,16,2,1,2020-21,Churu,102.0,exact,2039547.0,21.377296036816016,4.85401905423116,0.7844879279565512,0.0980609909945689,0.04903049549728445,0.604801878624448,0.5900038661291921,0.47776669837156804,0.04618860626076935,0.21474327387405148,0.3867008646520058,0,102.0,0,2020,,False
Rajasthan,Jhunjhunu,592,116,26,0,1,2019-20,Jhunjhunu,103.0,exact,2137045.0,27.701803190854662,5.42805603064044,1.2166332482469953,0.0,0.046793586471038276,0.7837334797749763,0.6648916826292671,0.7409506627567081,0.0,0.20494608208998874,0.47890438145018804,0,103.0,0,2019,2020.0,True
Rajasthan,Jhunjhunu,598,115,27,1,1,2020-21,Jhunjhunu,103.0,exact,2137045.0,27.98256470968089,5.381262444169402,1.2634268347180335,0.046793586471038276,0.046793586471038276,0.7916767245024253,0.6587870767222689,0.7694487651704276,0.022040676104933057,0.20494608208998874,0.48937986491800867,0,103.0,0,2020,,False
Rajasthan,Alwar,684,133,37,0,1,2019-20,Alwar,104.0,exact,3674179.0,18.61640382790278,3.619856299869985,1.0070276924450332,0.0,0.027216964660676576,0.5266913078696337,0.4289972451655799,0.6132972588137129,0.0,0.11920458965118466,0.3376380803000222,0,104.0,0,2019,2020.0,True
Rajasthan,Alwar,699,130,40,1,1,2020-21,Alwar,104.0,exact,3674179.0,19.024658297812927,3.5382054058879544,1.088678586427063,0.027216964660676576,0.027216964660676576,0.538241555849231,0.418345218524645,0.6630240635823924,0.012819712013667998,0.11920458965118466,0.3503270279242242,0,104.0,0,2020,,False
Rajasthan,Bharatpur,395,75,17,0,1,2019-20,Bharatpur,105.0,exact,2548462.0,15.499544431111785,2.942951474261731,0.6670690008326591,0.0,0.03923935299015641,0.43850978971406507,0.34068947676143513,0.4062565436080129,0.0,0.17186012583275717,0.2714631871832541,0,105.0,0,2019,2020.0,True
Rajasthan,Bharatpur,396,73,22,1,1,2020-21,Bharatpur,105.0,exact,2548462.0,15.538783784101941,2.8644727682814186,0.8632657657834412,0.03923935299015641,0.03923935299015641,0.4396199410804298,0.3304512879789294,0.525743762316252,0.01848248734596265,0.17186012583275717,0.2972315209108662,0,105.0,0,2020,,False
Rajasthan,Dholpur,230,36,7,1,1,2019-20,Dholpur,106.0,exact,1206516.0,19.06315374184843,2.9837979769849716,0.5801829399693,0.08288327713847143,0.08288327713847143,0.5393306607028597,0.34601823697430845,0.3533414317829941,0.0390396121283652,0.36301134837830584,0.32814825799336667,0,106.0,0,2019,2020.0,True
Rajasthan,Dholpur,233,34,7,1,1,2020-21,Dholpur,106.0,exact,1206516.0,19.311803573263845,2.8180314227080285,0.5801829399693,0.08288327713847143,0.08288327713847143,0.5463654084511579,0.3243926347767062,0.3533414317829941,0.0390396121283652,0.36301134837830584,0.3252300871035058,0,106.0,0,2020,,False
Rajasthan,Karauli,278,40,11,1,1,2019-20,Karauli,107.0,exact,1458248.0,19.06397265760008,2.743017648575551,0.7543298533582765,0.06857544121438877,0.06857544121438877,0.5393538292918234,0.31460647468062597,0.45939991002902114,0.03230034717460039,0.3003460316763678,0.32920131857048773,0,107.0,0,2019,2020.0,True
Rajasthan,Karauli,281,39,14,1,1,2020-21,Karauli,107.0,exact,1458248.0,19.269698981243245,2.6744422073611624,0.9600561770014427,0.06857544121438877,0.06857544121438877,0.5451741943561236,0.3056602477490471,0.5846907945823905,0.03230034717460039,0.3003460316763678,0.3536343231077059,0,107.0,0,2020,,False
Rajasthan,Sawai Madhopur,266,39,14,1,1,2019-20,Sawai Madhopur,108.0,exact,1335551.0,19.91687326054939,2.920143072035437,1.0482564873973363,0.07487546338552403,0.07487546338552403,0.5634839103860504,0.3377139342253655,0.6384063070733965,0.035267778367630044,0.3279388057812843,0.3805621471667454,0,108.0,0,2019,2020.0,True
Rajasthan,Sawai Madhopur,269,42,14,1,1,2020-21,Sawai Madhopur,108.0,exact,1335551.0,20.141499650705963,3.144769462192009,1.0482564873973363,0.07487546338552403,0.07487546338552403,0.5698389920821336,0.36701828321058827,0.6384063070733965,0.035267778367630044,0.3279388057812843,0.3876940333030066,0,108.0,0,2020,,False
Rajasthan,Dausa,315,47,16,0,1,2019-20,Dausa,109.0,exact,1634409.0,19.273021624330262,2.8756571947413407,0.9789471301247118,0.0,0.06118419563279449,0.5452681978623466,0.33191038784672616,0.5961957113327425,0.0,0.267973928190557,0.34826964504647445,0,109.0,0,2019,2020.0,True
Rajasthan,Dausa,313,48,17,0,1,2020-21,Dausa,109.0,exact,1634409.0,19.150653233064673,2.9368413903741355,1.0401313257575062,0.0,0.06118419563279449,0.5418061775584586,0.33989236636649767,0.6334579432910389,0.0,0.267973928190557,0.35662608308131044,0,109.0,0,2020,,False
